DATE,MMBenchmarkRate
1998-04-14,7.2
1998-04-15,7.2
1998-04-16,7.2
1998-04-17,7.2
1998-04-02,7.02
1998-04-20,6.68
1998-04-21,6.68
1998-04-22,7.6366
1998-04-23,7.6366
1998-04-24,7.6366
1998-04-27,7.6366
1998-04-28,7.6366
1998-04-29,7.6366
1998-04-03,7.2
1998-04-30,7.6366
1998-04-06,7.2
1998-04-07,7.2
1998-04-08,7.2
1998-04-09,7.2
1998-05-11,7.6366
1998-05-12,7.6366
1998-05-13,6.56
1998-05-14,6.56
1998-05-15,6.56
1998-05-18,6.56
1998-05-19,6.56
1998-05-20,6.56
1998-05-21,6.56
1998-05-22,6.588
1998-05-25,6.588
1998-05-26,6.588
1998-05-27,6.588
1998-05-28,6.588
1998-05-29,6.588
1998-05-04,7.6366
1998-05-05,7.6366
1998-05-06,7.6366
1998-05-07,7.6366
1998-05-08,7.6366
1998-06-01,6.588
1998-06-10,6.588
1998-06-11,6.588
1998-06-12,6.588
1998-06-15,6.588
1998-06-16,6.588
1998-06-17,6.588
1998-06-18,6.588
1998-06-19,6.75
1998-06-02,6.588
1998-06-22,6.5
1998-06-23,6.9
1998-06-24,6.5
1998-06-25,6.5
1998-06-26,6.5
1998-06-29,6.5
1998-06-03,6.588
1998-06-30,6.5
1998-06-04,6.588
1998-06-05,6.588
1998-06-08,6.588
1998-06-09,6.588
1998-07-01,6.5
1998-07-10,6.5
1998-07-13,5.5
1998-07-14,5.5
1998-07-15,5.5
1998-07-16,5.4
1998-07-17,5.76
1998-07-02,6.5
1998-07-20,5.45
1998-07-21,5.435
1998-07-22,5.435
1998-07-23,5.435
1998-07-24,5.85
1998-07-27,5.7
1998-07-28,5.55
1998-07-29,5.55
1998-07-03,6.5
1998-07-30,5.55
1998-07-31,5.3
1998-07-06,6.5
1998-07-07,6.5
1998-07-08,6.5
1998-07-09,6.5
1998-08-10,5.175
1998-08-11,4.9733
1998-08-12,5.01
1998-08-13,5.5
1998-08-14,5.01
1998-08-17,5.4
1998-08-18,5.1981
1998-08-19,5.4038
1998-08-20,5.2066
1998-08-21,4.9
1998-08-24,4.9
1998-08-25,4.7
1998-08-26,4.7
1998-08-27,4.7
1998-08-28,5.35
1998-08-03,5.3
1998-08-31,5.35
1998-08-04,5.3
1998-08-05,5.28
1998-08-06,5.28
1998-08-07,5.28
1998-09-01,5.35
1998-09-10,5.1
1998-09-11,5.4
1998-09-14,4.86
1998-09-15,4.86
1998-09-16,5.04
1998-09-17,4.7
1998-09-18,4.7
1998-09-02,5.01
1998-09-21,4.7
1998-09-22,4.7
1998-09-23,4.7
1998-09-24,4.7
1998-09-25,4.7
1998-09-28,5.01
1998-09-29,5.01
1998-09-03,4.7
1998-09-30,5.01
1998-09-04,4.6
1998-09-07,4.6
1998-09-08,5.1
1998-09-09,5.1
1999-01-11,4.05
1999-01-12,4.05
1999-01-13,4.136
1999-01-14,4.05
1999-01-15,4.05
1999-01-18,4.05
1999-01-19,4.05
1999-01-20,4.02
1999-01-21,4.02
1999-01-22,4.02
1999-01-25,4.02
1999-01-26,4.02
1999-01-27,4.02
1999-01-28,4.016
1999-01-29,4.016
1999-01-04,4.02
1999-01-05,4.05
1999-01-06,4.05
1999-01-07,4.05
1999-01-08,4.05
1999-10-10,2.58
1999-10-11,2.58
1999-10-12,2.58
1999-10-13,2.58
1999-10-14,2.5856
1999-10-15,2.59
1999-10-18,2.588
1999-10-19,2.5892
1999-10-20,2.5814
1999-10-21,2.5846
1999-10-22,2.5911
1999-10-25,2.59
1999-10-26,2.59
1999-10-27,2.5845
1999-10-28,2.5786
1999-10-29,2.5618
1999-10-08,2.58
1999-10-09,2.58
1999-11-01,2.58
1999-11-10,2.58
1999-11-11,2.5795
1999-11-12,2.5801
1999-11-15,2.5814
1999-11-16,2.58
1999-11-17,2.58
1999-11-18,2.573
1999-11-19,2.5783
1999-11-02,2.5752
1999-11-22,2.5805
1999-11-23,2.5768
1999-11-24,2.5792
1999-11-25,2.58
1999-11-26,2.5727
1999-11-29,2.58
1999-11-03,2.58
1999-11-30,2.57
1999-11-04,2.5783
1999-11-05,2.5788
1999-11-08,2.5702
1999-11-09,2.5715
1999-12-01,2.57
1999-12-10,2.56
1999-12-13,2.5686
1999-12-14,2.57
1999-12-15,2.5722
1999-12-16,2.57
1999-12-17,2.56
1999-12-02,2.5783
1999-12-21,2.5633
1999-12-22,2.5648
1999-12-23,2.5718
1999-12-24,2.57
1999-12-27,2.5737
1999-12-28,2.59
1999-12-29,2.57
1999-12-03,2.5642
1999-12-30,2.5727
1999-12-31,2.5727
1999-12-06,2.565
1999-12-07,2.56
1999-12-08,2.57
1999-12-09,2.57
1999-02-01,4.02
1999-02-10,4.051
1999-02-11,4.051
1999-02-12,4.075
1999-02-15,4.075
1999-02-02,4.0185
1999-02-23,4.0
1999-02-24,4.0
1999-02-25,4.02
1999-02-26,4.06
1999-02-03,4.02
1999-02-04,4.02
1999-02-05,4.02
1999-02-08,4.02
1999-02-09,4.051
1999-03-01,4.02
1999-03-10,4.05
1999-03-11,4.1178
1999-03-12,4.08
1999-03-15,4.08
1999-03-16,4.0986
1999-03-17,4.0986
1999-03-18,4.08
1999-03-19,4.08
1999-03-02,4.0264
1999-03-22,4.04
1999-03-23,4.05
1999-03-24,4.05
1999-03-25,4.02
1999-03-26,4.05
1999-03-29,4.05
1999-03-03,4.02
1999-03-30,4.05
1999-03-31,4.05
1999-03-04,4.035
1999-03-05,4.02
1999-03-08,4.0247
1999-03-09,4.02
1999-04-01,4.05
1999-04-12,4.05
1999-04-13,4.02
1999-04-14,4.02
1999-04-15,4.05
1999-04-16,4.035
1999-04-19,4.05
1999-04-02,4.05
1999-04-20,4.0321
1999-04-21,4.05
1999-04-22,4.05
1999-04-23,4.02
1999-04-26,4.02
1999-04-27,4.02
1999-04-28,4.02
1999-04-29,4.042
1999-04-30,4.02
1999-04-05,4.05
1999-04-06,4.05
1999-04-07,4.05
1999-04-08,4.05
1999-04-09,4.05
1999-05-10,4.0075
1999-05-11,4.02
1999-05-12,4.02
1999-05-13,4.0123
1999-05-14,4.0066
1999-05-17,4.0
1999-05-18,4.02
1999-05-19,4.02
1999-05-20,4.0
1999-05-21,4.0
1999-05-24,4.0109
1999-05-25,4.01
1999-05-26,4.0054
1999-05-27,4.0
1999-05-28,4.0
1999-05-31,3.994
1999-05-04,4.02
1999-05-05,4.02
1999-05-06,4.0
1999-05-07,4.0
1999-06-01,4.0051
1999-06-10,2.73
1999-06-11,2.7277
1999-06-14,2.7
1999-06-15,2.7
1999-06-16,2.7
1999-06-17,2.7
1999-06-18,2.7
1999-06-02,4.0056
1999-06-21,2.7
1999-06-22,2.7
1999-06-23,2.7
1999-06-24,2.7
1999-06-25,2.6821
1999-06-28,2.7
1999-06-29,2.6994
1999-06-03,3.9529
1999-06-30,2.6831
1999-06-04,3.9
1999-06-07,3.9673
1999-06-08,4.0
1999-06-09,3.9
1999-07-01,2.71
1999-07-12,2.6569
1999-07-13,2.6712
1999-07-14,2.6262
1999-07-15,2.62
1999-07-16,2.65
1999-07-19,2.64
1999-07-02,2.6945
1999-07-20,2.6122
1999-07-21,2.63
1999-07-22,2.62
1999-07-23,2.6156
1999-07-26,2.6139
1999-07-27,2.6226
1999-07-28,2.6162
1999-07-29,2.6223
1999-07-30,2.62
1999-07-05,2.6825
1999-07-06,2.6806
1999-07-07,2.6725
1999-07-08,2.6725
1999-07-09,2.65
1999-08-10,2.61
1999-08-11,2.61
1999-08-12,2.6072
1999-08-13,2.61
1999-08-16,2.5953
1999-08-17,2.59
1999-08-18,2.59
1999-08-19,2.5923
1999-08-02,2.6215
1999-08-20,2.5838
1999-08-23,2.5817
1999-08-24,2.58
1999-08-25,2.5803
1999-08-26,2.58
1999-08-27,2.58
1999-08-03,2.6197
1999-08-30,2.5814
1999-08-31,2.58
1999-08-04,2.6129
1999-08-05,2.6123
1999-08-06,2.6194
1999-08-09,2.6175
1999-09-01,2.58
1999-09-10,2.58
1999-09-13,2.59
1999-09-14,2.5831
1999-09-15,2.58
1999-09-16,2.58
1999-09-17,2.58
1999-09-02,2.58
1999-09-20,2.58
1999-09-21,2.5845
1999-09-22,2.58
1999-09-23,2.5801
1999-09-24,2.5851
1999-09-27,2.58
1999-09-28,2.5733
1999-09-29,2.5733
1999-09-03,2.58
1999-09-30,2.52
1999-09-06,2.5803
1999-09-07,2.5796
1999-09-08,2.58
1999-09-09,2.58
2000-01-10,2.56
2000-01-11,2.56
2000-01-12,2.56
2000-01-13,2.5546
2000-01-14,2.56
2000-01-17,2.57
2000-01-18,2.55
2000-01-19,2.55
2000-01-20,2.55
2000-01-21,2.5472
2000-01-24,2.55
2000-01-25,2.5023
2000-01-26,2.5096
2000-01-27,2.5149
2000-01-28,2.5172
2000-01-03,2.5727
2000-01-31,2.5138
2000-01-04,2.5723
2000-01-05,2.566
2000-01-06,2.5669
2000-01-07,2.58
2000-10-10,2.3004
2000-10-11,2.3009
2000-10-12,2.3077
2000-10-13,2.3009
2000-10-16,2.301
2000-10-17,2.3003
2000-10-18,2.3026
2000-10-19,2.3014
2000-10-20,2.3008
2000-10-23,2.3014
2000-10-24,2.3007
2000-10-25,2.3014
2000-10-26,2.3089
2000-10-27,2.3034
2000-10-30,2.3018
2000-10-31,2.302
2000-10-08,2.3027
2000-10-09,2.3015
2000-11-01,2.3011
2000-11-10,2.3083
2000-11-13,2.3018
2000-11-14,2.3017
2000-11-15,2.3015
2000-11-16,2.309
2000-11-17,2.3015
2000-11-02,2.3007
2000-11-20,2.3024
2000-11-21,2.3016
2000-11-22,2.3038
2000-11-23,2.3095
2000-11-24,2.3097
2000-11-27,2.3141
2000-11-28,2.3178
2000-11-29,2.3194
2000-11-03,2.3089
2000-11-30,2.3239
2000-11-06,2.3018
2000-11-07,2.3017
2000-11-08,2.3012
2000-11-09,2.3022
2000-12-01,2.3295
2000-12-11,2.385
2000-12-12,2.3875
2000-12-13,2.393
2000-12-14,2.402
2000-12-15,2.4107
2000-12-18,2.4158
2000-12-19,2.446
2000-12-20,2.4757
2000-12-21,2.5096
2000-12-22,2.5583
2000-12-25,2.6059
2000-12-26,2.6356
2000-12-27,2.6696
2000-12-28,2.6244
2000-12-29,2.558
2000-12-04,2.3277
2000-12-05,2.3369
2000-12-06,2.3581
2000-12-07,2.3582
2000-12-08,2.3593
2000-02-01,2.5
2000-02-12,2.5557
2000-02-13,2.57
2000-02-14,2.5212
2000-02-15,2.4815
2000-02-16,2.5042
2000-02-17,2.5127
2000-02-18,2.5116
2000-02-02,2.5
2000-02-21,2.5159
2000-02-22,2.5101
2000-02-23,2.51
2000-02-24,2.4953
2000-02-25,2.4929
2000-02-28,2.4923
2000-02-29,2.4849
2000-02-03,2.5
2000-02-04,2.5
2000-03-01,2.4811
2000-03-10,2.4666
2000-03-13,2.4678
2000-03-14,2.4529
2000-03-15,2.4526
2000-03-16,2.45
2000-03-17,2.452
2000-03-02,2.48
2000-03-20,2.4484
2000-03-21,2.4478
2000-03-22,2.4469
2000-03-23,2.4417
2000-03-24,2.4424
2000-03-27,2.435
2000-03-28,2.4388
2000-03-29,2.4367
2000-03-03,2.48
2000-03-30,2.44
2000-03-31,2.4215
2000-03-06,2.48
2000-03-07,2.481
2000-03-08,2.4738
2000-03-09,2.4733
2000-04-10,2.4226
2000-04-11,2.4213
2000-04-12,2.42
2000-04-13,2.4266
2000-04-14,2.4184
2000-04-17,2.4175
2000-04-18,2.42
2000-04-19,2.419
2000-04-20,2.42
2000-04-21,2.4174
2000-04-24,2.4128
2000-04-25,2.413
2000-04-26,2.395
2000-04-27,2.4022
2000-04-28,2.4
2000-04-29,2.38
2000-04-03,2.4284
2000-04-30,2.38
2000-04-04,2.4319
2000-04-05,2.4264
2000-04-06,2.4281
2000-04-07,2.4251
2000-05-10,2.4016
2000-05-11,2.3992
2000-05-12,2.4
2000-05-15,2.3977
2000-05-16,2.3926
2000-05-17,2.3969
2000-05-18,2.3921
2000-05-19,2.3942
2000-05-22,2.39
2000-05-23,2.3866
2000-05-24,2.394
2000-05-25,2.3837
2000-05-26,2.3873
2000-05-29,2.3757
2000-05-30,2.3756
2000-05-31,2.3778
2000-05-08,2.4025
2000-05-09,2.3978
2000-06-01,2.3794
2000-06-12,2.3723
2000-06-13,2.3706
2000-06-14,2.3681
2000-06-15,2.371
2000-06-16,2.3754
2000-06-19,2.3709
2000-06-02,2.3745
2000-06-20,2.3695
2000-06-21,2.3657
2000-06-22,2.3691
2000-06-23,2.3721
2000-06-26,2.3669
2000-06-27,2.3674
2000-06-28,2.3627
2000-06-29,2.3676
2000-06-30,2.3703
2000-06-05,2.3771
2000-06-06,2.3721
2000-06-07,2.3796
2000-06-08,2.3746
2000-06-09,2.373
2000-07-10,2.3611
2000-07-11,2.3558
2000-07-12,2.3574
2000-07-13,2.3568
2000-07-14,2.3591
2000-07-17,2.3599
2000-07-18,2.3545
2000-07-19,2.3579
2000-07-20,2.3553
2000-07-21,2.3585
2000-07-24,2.351
2000-07-25,2.3512
2000-07-26,2.3495
2000-07-27,2.3514
2000-07-28,2.3572
2000-07-03,2.3659
2000-07-31,2.3445
2000-07-04,2.3696
2000-07-05,2.3648
2000-07-06,2.3666
2000-07-07,2.365
2000-08-01,2.3405
2000-08-10,2.3229
2000-08-11,2.3294
2000-08-14,2.3352
2000-08-15,2.3212
2000-08-16,2.3223
2000-08-17,2.3193
2000-08-18,2.3318
2000-08-02,2.3387
2000-08-21,2.3195
2000-08-22,2.3151
2000-08-23,2.3114
2000-08-24,2.317
2000-08-25,2.3194
2000-08-28,2.3283
2000-08-29,2.316
2000-08-03,2.3461
2000-08-30,2.3111
2000-08-31,2.3082
2000-08-04,2.3403
2000-08-07,2.3312
2000-08-08,2.3354
2000-08-09,2.3346
2000-09-01,2.32
2000-09-11,2.3054
2000-09-12,2.3054
2000-09-13,2.3058
2000-09-14,2.3089
2000-09-15,2.3126
2000-09-18,2.3047
2000-09-19,2.3027
2000-09-20,2.3039
2000-09-21,2.2895
2000-09-22,2.3069
2000-09-25,2.311
2000-09-26,2.3014
2000-09-27,2.3057
2000-09-28,2.3001
2000-09-29,2.3001
2000-09-30,2.3
2000-09-04,2.3104
2000-09-05,2.3117
2000-09-06,2.3085
2000-09-07,2.3103
2000-09-08,2.3069
2001-01-10,2.4582
2001-01-11,2.4641
2001-01-12,2.5168
2001-01-15,2.4796
2001-01-16,2.4971
2001-01-17,2.5327
2001-01-18,2.5447
2001-01-19,2.5607
2001-01-02,2.4878
2001-01-20,2.5613
2001-01-21,2.52
2001-01-22,2.4
2001-01-23,2.4
2001-01-03,2.4662
2001-01-31,2.4584
2001-01-04,2.5191
2001-01-05,2.4745
2001-01-08,2.4581
2001-01-09,2.4558
2001-10-10,2.2391
2001-10-11,2.2292
2001-10-12,2.2197
2001-10-15,2.2103
2001-10-16,2.1894
2001-10-17,2.1805
2001-10-18,2.1679
2001-10-19,2.1609
2001-10-22,2.1561
2001-10-23,2.1555
2001-10-24,2.1504
2001-10-25,2.1443
2001-10-26,2.1456
2001-10-29,2.1425
2001-10-30,2.1445
2001-10-31,2.1405
2001-10-08,2.2521
2001-10-09,2.2414
2001-11-01,2.1394
2001-11-12,2.1384
2001-11-13,2.1377
2001-11-14,2.1384
2001-11-15,2.1386
2001-11-16,2.1388
2001-11-19,2.138
2001-11-02,2.1368
2001-11-20,2.1375
2001-11-21,2.1385
2001-11-22,2.1406
2001-11-23,2.1386
2001-11-26,2.138
2001-11-27,2.1391
2001-11-28,2.1412
2001-11-29,2.1401
2001-11-30,2.1371
2001-11-05,2.1378
2001-11-06,2.1407
2001-11-07,2.1401
2001-11-08,2.1395
2001-11-09,2.1394
2001-12-10,2.1437
2001-12-11,2.1396
2001-12-12,2.1381
2001-12-13,2.1423
2001-12-14,2.1388
2001-12-17,2.1385
2001-12-18,2.139
2001-12-19,2.1389
2001-12-20,2.1398
2001-12-21,2.1391
2001-12-24,2.1396
2001-12-25,2.1412
2001-12-26,2.1416
2001-12-27,2.1379
2001-12-28,2.1388
2001-12-29,2.1448
2001-12-03,2.1381
2001-12-30,2.1418
2001-12-31,2.1377
2001-12-04,2.1439
2001-12-05,2.1388
2001-12-06,2.1408
2001-12-07,2.1383
2001-02-01,2.4711
2001-02-12,2.5174
2001-02-13,2.5238
2001-02-14,2.5329
2001-02-15,2.5277
2001-02-16,2.5253
2001-02-19,2.5291
2001-02-02,2.4699
2001-02-20,2.5178
2001-02-21,2.5273
2001-02-22,2.5266
2001-02-23,2.5233
2001-02-26,2.5291
2001-02-27,2.5301
2001-02-28,2.521
2001-02-05,2.5067
2001-02-06,2.5274
2001-02-07,2.5196
2001-02-08,2.5331
2001-02-09,2.5252
2001-03-01,2.5155
2001-03-12,2.497
2001-03-13,2.4959
2001-03-14,2.4939
2001-03-15,2.4955
2001-03-16,2.497
2001-03-19,2.4941
2001-03-02,2.5057
2001-03-20,2.4931
2001-03-21,2.493
2001-03-22,2.4929
2001-03-23,2.4877
2001-03-26,2.4882
2001-03-27,2.4864
2001-03-28,2.4836
2001-03-29,2.4753
2001-03-30,2.4667
2001-03-05,2.5025
2001-03-06,2.5004
2001-03-07,2.4948
2001-03-08,2.4981
2001-03-09,2.499
2001-04-10,2.439
2001-04-11,2.4424
2001-04-12,2.437
2001-04-13,2.4356
2001-04-16,2.4253
2001-04-17,2.4224
2001-04-18,2.4155
2001-04-19,2.4116
2001-04-02,2.4644
2001-04-20,2.4093
2001-04-23,2.4101
2001-04-24,2.4041
2001-04-25,2.3994
2001-04-26,2.3984
2001-04-27,2.3954
2001-04-28,2.383
2001-04-29,2.34
2001-04-03,2.4581
2001-04-30,2.3137
2001-04-04,2.4562
2001-04-05,2.4527
2001-04-06,2.4509
2001-04-09,2.4496
2001-05-10,2.3909
2001-05-11,2.388
2001-05-14,2.3916
2001-05-15,2.3859
2001-05-16,2.3857
2001-05-17,2.3782
2001-05-18,2.3746
2001-05-21,2.3743
2001-05-22,2.3684
2001-05-23,2.3734
2001-05-24,2.3793
2001-05-25,2.3785
2001-05-28,2.3804
2001-05-29,2.3856
2001-05-30,2.3872
2001-05-31,2.3893
2001-05-08,2.388
2001-05-09,2.3893
2001-06-01,2.3831
2001-06-11,2.3554
2001-06-12,2.349
2001-06-13,2.3402
2001-06-14,2.3409
2001-06-15,2.3427
2001-06-18,2.3435
2001-06-19,2.3495
2001-06-20,2.3517
2001-06-21,2.3559
2001-06-22,2.3503
2001-06-25,2.3442
2001-06-26,2.3374
2001-06-27,2.3325
2001-06-28,2.3338
2001-06-29,2.3265
2001-06-04,2.3808
2001-06-05,2.38
2001-06-06,2.3762
2001-06-07,2.3688
2001-06-08,2.3614
2001-07-10,2.2941
2001-07-11,2.293
2001-07-12,2.2951
2001-07-13,2.2956
2001-07-16,2.3027
2001-07-17,2.3016
2001-07-18,2.306
2001-07-19,2.3059
2001-07-02,2.3234
2001-07-20,2.2999
2001-07-23,2.2995
2001-07-24,2.2972
2001-07-25,2.2973
2001-07-26,2.3016
2001-07-27,2.3028
2001-07-03,2.3138
2001-07-30,2.3021
2001-07-31,2.3027
2001-07-04,2.3072
2001-07-05,2.3001
2001-07-06,2.2977
2001-07-09,2.2949
2001-08-01,2.3021
2001-08-10,2.3021
2001-08-13,2.3011
2001-08-14,2.301
2001-08-15,2.2993
2001-08-16,2.2984
2001-08-17,2.2975
2001-08-02,2.3035
2001-08-20,2.2974
2001-08-21,2.2959
2001-08-22,2.2949
2001-08-23,2.2931
2001-08-24,2.2922
2001-08-27,2.2916
2001-08-28,2.2904
2001-08-29,2.2896
2001-08-03,2.3026
2001-08-30,2.2882
2001-08-31,2.2856
2001-08-06,2.3028
2001-08-07,2.3042
2001-08-08,2.3018
2001-08-09,2.3044
2001-09-10,2.2776
2001-09-11,2.2749
2001-09-12,2.2746
2001-09-13,2.2728
2001-09-14,2.2685
2001-09-17,2.2652
2001-09-18,2.2616
2001-09-19,2.259
2001-09-20,2.2572
2001-09-21,2.2545
2001-09-24,2.2498
2001-09-25,2.2467
2001-09-26,2.2425
2001-09-27,2.2387
2001-09-28,2.2251
2001-09-29,2.2014
2001-09-03,2.2848
2001-09-30,2.2125
2001-09-04,2.2837
2001-09-05,2.2818
2001-09-06,2.2803
2001-09-07,2.2779
2002-01-10,2.1373
2002-01-11,2.1374
2002-01-14,2.1371
2002-01-15,2.1373
2002-01-16,2.1368
2002-01-17,2.1368
2002-01-18,2.1364
2002-01-21,2.1365
2002-01-22,2.136
2002-01-23,2.1367
2002-01-24,2.1363
2002-01-25,2.1356
2002-01-28,2.1354
2002-01-29,2.1343
2002-01-30,2.1352
2002-01-31,2.1346
2002-01-04,2.1393
2002-01-07,2.1379
2002-01-08,2.1388
2002-01-09,2.1386
2002-10-10,2.2545
2002-10-11,2.2517
2002-10-14,2.2507
2002-10-15,2.2473
2002-10-16,2.2445
2002-10-17,2.244
2002-10-18,2.2409
2002-10-21,2.2405
2002-10-22,2.2397
2002-10-23,2.2415
2002-10-24,2.2373
2002-10-25,2.2375
2002-10-28,2.2379
2002-10-29,2.2381
2002-10-30,2.2355
2002-10-31,2.2352
2002-10-08,2.2565
2002-10-09,2.2553
2002-11-01,2.2357
2002-11-11,2.232
2002-11-12,2.2318
2002-11-13,2.2301
2002-11-14,2.2297
2002-11-15,2.2298
2002-11-18,2.2285
2002-11-19,2.2288
2002-11-20,2.2287
2002-11-21,2.2285
2002-11-22,2.2289
2002-11-25,2.2287
2002-11-26,2.228
2002-11-27,2.2284
2002-11-28,2.2279
2002-11-29,2.2286
2002-11-04,2.2328
2002-11-05,2.2336
2002-11-06,2.2338
2002-11-07,2.2303
2002-11-08,2.2318
2002-12-10,2.2556
2002-12-11,2.2609
2002-12-12,2.2712
2002-12-13,2.2973
2002-12-16,2.3135
2002-12-17,2.3224
2002-12-18,2.3317
2002-12-19,2.3385
2002-12-02,2.2285
2002-12-20,2.3495
